date,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
Chickpeas,18.89666667,18.16,18.5,18.295,18.84,20.19,20.875,21.0775,20.8875,22.8,23.8375,23.455,22.4725,22.775,22.75,23.785,25.575,25.8975,26.1125,25.7875,27.125,27.83,27.9725,27.4475,25.725,25,24.23,23.445,22.5375,22.5225,22.775,23.0825,23.7125,24.205,23.87,22.7075,21.935,22.1075,22.5975,22.74,21.9525,21.7125,21.77,22.025,23.035,23.3025,23.275,22.75,22.445,22.32,22.0325,22.0975,22.21,22.17,22.245,22.5,22.5,22.5925,22.75,22.6175,22.75,22.8375,22.7225,22.43,22.6225,24.115,24.965,24.875,24.8825,25.9225,26.72,26.625,26.355,26.72,27.7575,29.5875,30.635,30.685,31.9475,37.595,41.05,40.5525,39.9125,38.32,36.73,33.3025,33.49,32.975,32.6025,33.1275,33.3875,33.5275,33.645,33.9025,34.3225,33.7225,33.525,35.7225,36.6075,35.0725,33.965,34.8325,35.87,36.5025,37.025,36.395,34.5825,34.345,34.375,33.6325,33.79,33.005,32.965,34.6175,35.8,35.15,35,35.85,35.7025,34.9675,33.9875,32.335,32.8625,32.515,32.7575,33.2,33.885,35.0825,35.0825,35.85,36.625,36.705,37.9,37.9825,36.7725,36.44,36.8375,39.7075,41.9375,47.82,51.8225,51.9325,52.2475,51.0925,50.1725,51.95,53.8675,56.9,59.89,62.96,69.81,71.7425,71.5975,71.1475,71.245,69.3225,63.975,60.9425,58.22,55.495,53.775,52.105,50.965,51.465,50.0325,50.2675,51.4775,51.1775,51.2975,49.1625,51.2775,51,49.57,48.5325,48.1925,46.8075,47.3775,47.19,46.735,49.045,50.4625,52.94,54.3525,64.35,66.0325,65.4525,65.9725,67.9225,70.265,70.98,71.235,70.4275,69.0325,69.225,75.0275,80.115,86.305,106.255,107.6275,111.1825,131.555,136.9525,133.06,114.6,92.2075,84.5375,85.99,86.925,85.5425,82.945,82.2425,86.355,84.0925,78.7975,75.1075,70.8,67.4125,66.7175,64,63.2725,63.385,64.32,68.555,68.05,67.225,69.055,71.6775,71.69,70.6875,68.0525,67.6475,69.885,72.2675,69.9975,67.8225,68.3725,69.305,70.9625,69.9175,69.055
Oil (mustard),45.69,43.621875,42.965625,41.340625,42.08,41.89,42.21,42.14333333,40.38461538,40.4,43.31785714,42.709375,42.62333333,43.81,43.39375,43.2375,0,0,0,0,0,0,0,45.52,43.03333333,43.09375,43.8,45.33333333,47.1875,48.125,49,48.8125,49.6,53,53.96875,52.8125,52.73333333,54.09375,57.1875,58.4375,59.125,59.03125,58.875,58.375,60.93333333,60.5,60.75,61.625,62.8125,60.3125,58.4375,57,56.8125,57.0625,56.1875,56.40625,56.46875,56.78125,56.65625,56.46875,55.5,55.125,54.78125,54.28125,54.84375,56.28125,56.03125,55.84375,55.8125,56.25,55.875,55.78125,55.53125,55.375,55.25,56.375,56.96875,57.28125,57.59375,57.5,57.71875,60.125,59.5,59.75,58.4375,58.25,58.375,58.5,59.73333333,61.16666667,62.26666667,62.73333333,63.73333333,65.3,65.36666667,67.33333333,69.66666667,74.46428571,73.06666667,74.2,78.7,80.53333333,81,79.21428571,79.35714286,77.07142857,77.64285714,77.28571429,75.5,71.28571429,70.28571429,69.64285714,69.65217391,69.83333333,69.58333333,69.125,67.73913043,36.1,69.82608696,69.22727273,62.23333333,69.29411765,62.11666667,61.81052632,61.97142857,64.996,67.14166667,66.69032258,67.92973684,69.64057143,70.14263158,74.58571429,74.48111111,74.91571429,74.61777778,74.23421053,77.85410256,78.31297297,79.79243243,80.86871795,81.38102564,83.25175,86.24275,0,0,0,95.75560976,97.01292683,97.72093023,99.43772727,103.2470455,104.2436364,103.5986364,104.0034091,104.8809091,104.7229545,104.7497727,103.8968182,102.2275,100.5940909,99.56,98.70261905,96.91780488,96.80275,95.93560976,98.5944186,99.80431818,98.50813953,98.06930233,97.56511628,98.67022727,98.49318182,97.704,97.61422222,97.00545455,97.0225,97.15022727,97.80888889,98.046,99.37862745,99.83490196,99.22588235,98.76076923,99.45423077,101.2107692,102.2992308,102.1215686,104.995,106.3572,113.3754902,113.2484314,111.6261538,110.4315385,108.0875,107.4782692,108.3567308,107.357451,107.7629412,109.7405882,110.1776471,110.1180392,111.4992308,111.6775472,112.2448148,111.5078846,109.7780769,108.4930189,107.5609615,106.2918,105.2501923,104.8661538,105.5944231,104.6161538,105.5588462,106.8082692,107.1653846,106.9140385,106.6076923,106.3268627,105.7126923,105.5682692,106.8636538,107.5745283,107.69,107.3869811,107.6817308,0,107.8224074,0,0,0,0,107.8661111,108.0690566,107.6807547,108.064717,108.4122642,108.984717,110.2901887,114.8773585
Potatoes,4.933333333,4.365,4.7425,4.855,5.09,5.375,5.4325,5.59,5.755,5.4575,4.77,4.2275,4.105,4.4425,5.1175,7.1525,7.8075,8.0975,8.6025,8.1625,8.025,9.55,8.4525,7.36,6.4,6.0275,6.405,7.2,7.605,8.275,9.225,9.4775,9.5,9.375,8.1625,5.6725,4.69,4.5875,5.6225,5.34,6.4875,7.195,7.0075,6.75,6.9725,6.82,6.6675,6.28,5.6175,5.7375,6.2125,7.09,7.91,8.4275,8.8625,9.32,9.47,9.3625,7.445,6.44,5.52,5.6125,6.355,7.9325,8.345,8.9425,9.3725,8.76,8.8825,10.9075,11.625,10.105,8.0275,7.3775,7.825,8.4575,8.875,9.785,10.0025,10.4225,11.625,12.15,10.9825,9.9375,8.71,8.0575,8.7,9.6425,10.86,11.725,12.26,12.205,12.805,12.4275,11.0525,9.62,8.84,8.1325,7.7375,7.885,8.1125,9.105,9.6,9.9025,9.4,9.055,8.6125,8.6125,7.5,8.545,10.785,12.0125,13.5975,15.36,15.8375,17,20.365,20.1325,17.9675,15.025,10.5375,8.7875,9.3125,10.105,11.13,11.35,11,12.38,13.6925,15.3675,15.295,13.2225,11.1575,10.655,10.5075,11.5125,11.7375,12.59,13.4525,13.7575,13.6375,12.9875,11.05,10.3425,10.425,11.015,12.81022222,15.255,16.36,17.76083333,18.88145833,18.60020833,18.04895833,17.9125,16.91458333,14.63645833,14.07729167,13.4306383,13.94595745,15.54042553,16.80625,17.93170213,17.72659574,17.41543478,18.88895833,25.18122449,22.08959184,18.14142857,15.55714286,16.19734694,17.83285714,20.53142857,21.59326531,24.07270833,26.15875,28.251875,29.00395833,29.54895833,23.8975,18.57581818,16.40363636,14.50127273,13.09232143,13.10607143,14.12178571,14.88928571,14.99696429,15.09553571,15.85363636,16.87272727,16.31490909,14.67,13.98839286,14.71285714,16.50642857,18.80196429,21.41375,23.09107143,23.35071429,22.78017857,22.12160714,21.11482143,17.42696429,14.68142857,13.75428571,13.24090909,13.53709091,14.035,14.5112963,15.25428571,15.89392857,15.67232143,15.73714286,15.98517857,16.095,14.82821429,14.45375,15.31910714,16.69072727,18.89089286,20.42428571,21.92527273,22.23928571,22.11625,22.44963636,21.88407407,22.245,17.67142857,18.1975,17.095,19.1475,20.8425,16.26093023,19.0012963,18.84925926,19.03074074,20.05166667,22.08037037,24.77277778,25.90807692
Rice,236.4944444,223.2157895,231.9905556,231.3555556,230.8888889,208.4165,206.1125,166.3642105,179.5735294,204.6052632,192.4625,211.0555556,219.1527778,219.1944444,206.7083333,245.453125,465.52375,473.81375,465.94625,471.25125,479.46625,482.7725,483.525,218.2222222,213.3055556,196.0842105,206.7261111,196.07,192.6010526,183.655,188.4525,190.4465,195.3625,195.525,185.5319048,204.7052632,188.1878947,199.6263158,196.2052632,199.1131579,197.4115789,198.7921053,192.1725,196.5435,197.775,184.9033333,194.97,206.0157895,207.5510526,203.0157895,201.3973684,195.79,199.69,191.1071429,190.4628571,194.6690476,215.05,215.075,214.3,222.3157895,202.3571429,204.2761905,206.6095238,229.7394737,227.6026316,225.0868421,214.26,210.745,209.795,210.845,209.3095238,220.955,225.0625,224.8375,238.3815789,243.9473684,235.7875,221.847619,225.3571429,227.6071429,238.465,232.9,222.8714286,241.5947368,238.7657895,240.4736842,241.2394737,236.2,250.7894737,232.75,236,237.6904762,254.1125,259.775,265.3175,286.0973684,299.5184211,277.8095238,276.4166667,299.0431579,298.4694737,301.85,311.345,311.72,312.545,319.745,304.5904762,302.762381,313.145,311.9325,313.3335,327.41,289.3172727,293.9390476,298.5277273,305.3636364,328.4457143,355.1042857,327.8952174,341.0533333,468.5753333,379.1215789,432.8588235,407.735,369.705,355.5328571,346.0422727,388.1465,412.1631579,397.8825,381.7295238,210.3125,205.0109756,205.2921951,206.0170732,193.4138636,187.6193333,195.7165116,197.7755814,195.0782222,195.2057778,194.101087,197.896,202.0115909,202.6827273,194.8597826,196.5791304,212.9424444,214.4430435,210.961875,218.9685417,211.2212245,215.005102,215.5322449,213.3734,221.0802041,226.6645833,226.6331915,224.3121277,229.0693617,227.9257143,245.4423404,236.6579167,239.6317021,224.2491837,217.1474,219.7628,219.8722,222.2942,221.433,220.6398,222.5888,223.0578,232.2559184,235.8657143,239.0297959,232.6158333,229.94625,218.81125,187.2353571,192.1514286,196.4016071,192.844386,193.1773684,199.1996429,194.5878947,192.9891071,191.0489474,191.7576786,188.4645614,191.2910714,190.2850877,190.7908929,186.7282456,187.9114286,192.2625,196.2607143,193.002807,192.6880702,194.4263158,197.6684211,197.8296491,201.2108621,212.5285965,215.2978947,211.0498246,215.9610714,214.1480357,223.2998182,219.5859649,223.2347368,227.3338596,225.2366667,228.6689286,229.7396429,231.5615789,232.7017544,231.8785965,239.8701818,232.9977193,233.7740351,231.0783929,233.3982143,228.2708929,227.0410714,231.5347273,1425.2675,229.4907018,1479.575,1467.235,1416.36375,1415.88,241.3712727,246.5214815,241.9718182,243.0372727,240.8008929,265.5830357,272.7801818,284.22
Sugar,16.27058824,16.61388889,17.04166667,16.64166667,16.63529412,16.58529412,17.10277778,16.96611111,16.80882353,16.63888889,16.19117647,16.18055556,16.04166667,16.19166667,16.57058824,16.66764706,16.0725,16.03,15.9675,16.165,16.24,16.04,16.025,16.14411765,16.02941176,16.125,16.16176471,16.33823529,16.14705882,16,16.10588235,15.73611111,15.55294118,15.25882353,14.90277778,14.73888889,14.70588235,14.51666667,14.51666667,14.68055556,14.94722222,15.36666667,15.92777778,15.94444444,16.15882353,15.99722222,15.76388889,15.64166667,16.75555556,16.35,17.29166667,17.51388889,17.47222222,17.54166667,17.94444444,17.98888889,18.08888889,17.95,18.48888889,19.87777778,19.72222222,19.76111111,19.51944444,19.49444444,19.44444444,19.80555556,19.94444444,19.77777778,19.83888889,19.88055556,19.875,20.64166667,21.47222222,21.13888889,21.27777778,21.55555556,21.47222222,21.22222222,21.05555556,20.80555556,20.56944444,20.44444444,19.94444444,19.30555556,17.77777778,17.55555556,16.91666667,16.72222222,16.67647059,16.11764706,16.05882353,16.02941176,16.20588235,16.32352941,16.23529412,16.47647059,16.59411765,17.38235294,17.36764706,17.14705882,17.20588235,17.76470588,20.32352941,20.25,20.35294118,20.32352941,20.76470588,140.6138889,151.2644444,253.5089474,268.6521053,283.4147368,210.9655556,211.4381481,249.3911111,261.1574074,263.7881481,299.1040741,297.1503704,345.4738462,467.8933333,355.7957143,282.3583333,270.102,235.0937037,217.8303333,216.6393103,175.7975676,154.5465909,169.6804878,164.3717778,177.7573171,169.9542857,172.5709756,168.2109524,155.8343478,153.3804348,167.5323256,166.625814,156.2568085,158.4414894,166.2004255,172.3219565,1055.565,1038.928333,1037.621667,163.0855319,165.5989362,160.3461224,167.4624,184.8022,188.355,188.6612,184.536,182.1152,174.8686,173.8828,173.3722449,169.7469388,170.1295918,167.1402,167.8185714,167.352449,169.8260417,164.0888,159.7268627,158.305098,155.3523529,151.77,152.4523529,161.8047059,166.5996078,167.7235294,172.3984,169.2862,165.0196,162.1294,158.9382,152.1626,135.2791228,133.7207018,128.0449123,123.4610345,122.9543103,118.4037931,112.2844828,115.7905172,120.4482759,129.0850877,130.0810526,133.5492982,142.052069,146.1846552,151.372069,162.9105172,163.965,166.0736207,168.9015517,171.5455172,170.9982759,172.5463793,171.54,168.9996552,174.9139655,179.0193103,179.9377586,178.632069,181.224386,181.9030357,177.2565517,178.6891379,178.1137931,177.9503448,174.4927586,164.3546552,157.317069,155.8672414,153.8784483,144.7735088,133.6231034,146.9213793,156.1238596,153.0001724,151.4427586,154.6580702,155.3071429,1100.353333,149.2781034,1123.243333,1123.901667,1130.618333,1161.233333,1161.591667,156.9576786,162.1139286,164.715,164.7157143,162.8098214,161.2989286,164.3018182
Wheat,205.0038462,245.025,234.0414286,219.6066667,217.8066667,214.592,208.8033333,170.3021429,170.2264286,209.9866667,212.9813333,213.6166667,214.75,214.9833333,210.8333333,207.092,379.93375,388.40625,374.2075,384.60375,394.0725,403.60625,403.33375,205.21875,194.7852941,194.75,207.315625,204.245625,204.859375,193.3676471,205.984375,195.4117647,210.09375,214.765625,208.2941176,201.6911765,216.515625,207.3676471,195.0777778,184.4722222,186.0694444,186.4305556,185.4166667,198.8382353,215.6625,205.6735294,208.4852941,223.3088235,219.6029412,211.8676471,204.5147059,201.8529412,199.9705882,202.4411765,201.7205882,202.1352941,200.1205882,204.7747059,205.2647059,207.1617647,212.5735294,214.1323529,209.9117647,210.0558824,208.5735294,212.4411765,213.9852941,214.8529412,219.0764706,240.96875,249.765625,260.6625,264.5625,272.9375,265.46875,260.90625,270.85,278.8625,287.375,293.1875,305.703125,326.321875,329.853125,331,326.671875,306.890625,300.4375,294.03125,294.8125,285.9852941,288.7264706,290.5882353,299.3529412,305.3676471,314.3382353,317.9117647,319.9411765,322.5588235,321.7529412,310.4705882,330.578125,336.484375,329.210625,329.179375,328.4375,330.453125,338.21875,343.9975,345.675,347.854375,332.0175,333.75,319.9594118,319.7547059,331.3658824,336.7352941,348.2964706,381.0111765,388.5358824,389.59,409.8275,378.9441176,358.7352941,373.339375,366.26,349.78,357.6055556,365.1055556,368.0877778,371.8805556,370.32,191.2394737,191.6610526,186.5076316,174.8918421,159.3466667,156.5540476,166.4989744,163.807,152.7302273,152.05,149.8134091,153.2760465,186.2191429,167.4139024,168.9697561,162.8688372,165.4362791,159.8517778,158.2002222,169.206,180.9357778,181.4666667,185.8073333,199.1188636,198.3004545,204.64,210.2630952,206.5352381,204.8364286,206.6897674,211.432619,207.4266667,207.9835714,198.9390909,202.5466667,207.2888889,203.2448889,206.5924444,205.228,194.3332609,198.4964444,199.842,200.1309091,203.3331818,201.5154545,198.4134091,199.4845455,196.1920455,172.857451,171.89,170.8905882,166.6334615,166.7663462,162.7575,160.7605769,164.4109615,169.7434615,177.7398039,180.7917647,180.6407843,176.3803846,179.4442308,176.5373077,170.5651923,170.5132692,175.0130769,179.5630769,182.7901923,182.3213462,184.2309615,197.9442308,206.7021154,205.7788235,204.019,196.9014,187.1308,187.1191837,187.4840816,179.9443137,181.1033333,181.2660784,181.4803922,183.3492157,186.8756863,186.5421569,190.5082353,188.4919608,184.52,189.0074,193.2570588,197.8696,205.7535294,209.4358824,214.8036,220.025,1267.82125,205.42625,1296.975,1267.37375,1185.3825,1167.41375,198.4078182,204.5098148,208.2261111,207.8159259,215.3645283,216.3760377,218.8043396,229.0444231
Onions,5.246666667,5.68,5.4875,5.2575,4.8275,5.465,5.005,5.445,6.2,7.575,7.91,7.8625,6.9725,6.34,5.83,5.7025,5.13,5.73,7.4525,8.05,8.575,10.7,9.0575,7.0175,5.675,5.4575,5.16,5.32,5.4175,6.27,6.7625,7.68,8.0325,8.08,7.125,5.6175,4.8625,4.8025,6.105,6.32,6.4525,7.0625,7.6625,8.6325,11.9875,12.835,10.5525,11.68,11.91,9.6375,8.8375,7.14,6.845,6.8475,7.8425,8.065,7.97,8.2125,7.8525,7.8825,7.355,7.12,7.105,7.165,6.8675,7.0575,8.5225,12.2875,15.27,16.13,12.845,8.9425,6.875,5.8825,5.61,5.5125,5.5375,6.2325,7.25,7.3575,7.8375,8.92,9.3875,12.305,14.5575,11.3975,10.645,9.225,10.06,12.75,14.26,16.3825,17.6475,16.4775,11.025,8.9975,7.725,7.505,7.54,7.335,7.5075,9.11,12.0375,12.2825,11.8825,14.83,17.0025,18.875,16.115,15.675,12.125,10,11.07,11.9675,12.3375,12.0825,18.1075,21.05,21.9725,21.2375,18.7625,13.655,11.8375,10.8575,11.165,11.885,13.1675,18.1675,21.7075,28.35,41.695,44.6125,19.29,12.885,11.075,11.2925,11.7375,13.025,15.585,18.64,18.7875,17.505,14.3575,12.095,10.6725,11.1525,11.884,11.6925,11.825,13.75270833,14.72354167,14.83395833,15.34,18.64791667,20.49354167,20.916875,25.0025,21.14765957,19.65319149,18.65723404,21.84645833,28.40978723,45.00191489,55.18891304,57.06583333,54.22714286,36.79122449,22.0677551,18.5622449,17.25755102,17.41061224,18.52959184,20.5622449,28.885,29.128125,27.3975,26.11333333,26.08604167,26.06333333,25.11327273,24.64436364,23.92781818,21.65232143,21.73392857,24.62714286,28.30321429,45.30357143,55.33267857,47.138,37.84381818,30.66672727,23.99803571,20.24821429,17.94053571,17.16660714,15.93535714,16.26285714,17.79821429,17.71857143,16.66482143,16.45410714,17.34285714,16.67309091,16.25267857,15.6875,15.25946429,15.13589286,14.83072727,15.17314815,16.30125,27.43910714,27.73303571,31.51892857,40.60678571,44.70196429,43.84785714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
